"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
ID,Id
Code,Kode
Model,Model
Attribute Model,Attribute Model
Increment Model,Model kenaikan
Main Table,Meja utama
Additional Attribute Table,Tabel Atribut Tambahan
New Eav Attributes,Atribut Eav Baru
Product Eav Attributes,Atribut Produk Eav
Rma Item Eav Attributes,Rma Item Eav Atribut
User Defined Eav Attributes,Atribut Eav yang Ditetapkan Pengguna
Name,Nama
Enabled,Diaktifkan
Value,Nilai
Scope,Cakupan
Configuration,Konfigurasi
Path,Jalan
Data from app/etc/env.php,Data dari app/etc/env.php
Title,Judul
Group,Kelompok
Is Gateway,Apakah Gateway
Void,Kosong
For Checkout,Untuk checkout
For Multishipping,Untuk multishipping
Capture Online,Tangkap Online
Partial Capture Online,Partial Capture Online
Refund Online,Pengembalian Dana Online
Partial Refund Online,Sebagian Pengembalian Dana Online
Capture Offline,Tangkap Offline
Partial Capture Offline,Partial Capture Offline
Refund Offline,Pengembalian dana secara Offline
Partial Refund Offline,Sebagian Refund Offline
Payments Functionality Matrix,Matriks Fungsi Pembayaran
Payment Methods,Metode Pembayaran
Shipping Methods,Metode pengiriman
Job Code,Kode pekerjaan
Cron Expression,Ekspresi Cron
Run Class,Jalankan Kelas
Run Method,Jalankan Metode
Group Code,Kode grup
All Configurable Cron Jobs,Semua Pekerjaan Cron yang Dapat Dikonfigurasi
All Global Cron Jobs,Semua Global Cron Jobs
Cron Schedules List,Daftar Cron Daftar
Schedule Id,Id Jadwal
Status,Subjek
Created At,Dibuat di
Scheduled At,Dijadwalkan di
Executed At,Executed At
Finished At,Selesai di
Core Configurable Cron Jobs,Core Cron yang dapat dikonfigurasi
Core Global Cron Jobs,Core Global Cron Jobs
Cron Schedules by job code,Jadwal Cron dengan kode pekerjaan
Count,Menghitung
Cron Schedules by status code,Jadwal Cron berdasarkan kode status
Status Code,Kode status
Custom Configurable Cron Jobs,Custom Cron Jobs Dikonfigurasi
Custom Global Cron Jobs,Custom Global Cron Jobs
Errors in Cron Schedules Queue,Kesalahan dalam Antrian Jadwal Cron
Error,Kesalahan
Corrupted Categories Data,Data Kategori yang Rusak
Id,Id
Expected Children Count,Jumlah anak yang diharapkan
Actual Children Count,Jumlah Anak Aktual
Expected Level,Tingkat yang Diharapkan
Actual Level,Tingkat Aktual
Duplicate Categories By URL Key,Kategori Duplikat Dengan Tombol URL
URL key,Kunci URL
Store,Toko
Duplicate Orders By Increment Id,Perintah Duplikat Dengan Kenaikan Id
Increment Id,Id kenaikan
Customer Id,Id Pelanggan
Duplicate Products By SKU,Produk Duplikat Dengan SKU
SKU,SKU
Duplicate Products By URL Key,Produk Duplikat Dengan Kunci URL
URL Key,Kunci URL
Website,Situs web
Duplicate Users By Email,Pengguna Duplikat Dengan Email
Email,E-mail
Type,Jenis
Parent,Induk
Adminhtml Themes List,Daftar Tema Adminhtml
Frontend Themes List,Daftar Tema Depan
Event Name,Nama acara
Observer Class,Kelas pengamat
Method,Metode
All Admin Events,Semua Acara Admin
All Crontab Events,Semua acara crontab
All Doc Events,Semua Dokumen Acara
All Frontend Events,Semua Acara Frontend
All Global events,Semua acara Global
All REST Events,Semua acara REST
All SOAP Events,Semua acara SOAP
Core Admin Events,Acara Admin Inti
Core Crontab Events,Acara Core Crontab
Core Doc Events,Acara Core Doc
Core Frontend Events,Acara Inti Inti
Core Global Events,Peristiwa Global Inti
Core REST Events,Acara Core REST
Core SOAP Events,Acara SOAP Inti
Custom Admin Events,Custom Admin Events
Custom Crontab Events,Peristiwa Crontab Khusus
Custom Doc Events,Acara Dok Khusus
Custom Frontend Events,Peristiwa Frontend Khusus
Custom Global Events,Peristiwa Global Khusus
Custom REST Events,Acara REST Khusus
Custom SOAP Events,Peristiwa SOAP Khusus
Log Files,File log
File,Mengajukan
Size,Ukuran
Log Entries,Entri log
Last Update,Pembaharuan Terakhir
Today's Top Debug Messages,Pesan Debug Teratas hari ini
Message,Pesan
Last Occurrence,Kemunculan terakhir
Today's Top Exception Messages,Pesan Kesalahan Teratas Hari Ini
Stack Trace,Stack Trace
Today's Top System Messages,Pesan Sistem Teratas Hari Ini
Top Debug Messages,Pesan Debug Teratas
Top Exception Messages,Pesan Kesalahan Teratas
Top System Messages,Pesan Sistem Teratas
Store Views List,Daftar tampilan toko
Stores List,Daftar Toko
Root Category,Kategori akar
Default Store View,Tampilan Bawaan Toko
Websites List,Daftar Situs Web
Is Default,Bawaan
Default Store,Toko Bawaan
Websites Tree,Pohon Website
There was an error while loading system report data.,Terjadi kesalahan saat memuat data laporan sistem.
General,Umum
Environment,Lingkungan Hidup
Cannot save backup. The reason is: Utility lsof not found,Tidak dapat menyimpan cadangan Alasannya adalah: Utilitas lsof tidak ditemukan
Test error,Menguji kesalahan
Error message!,Pesan kesalahan!
User Defined,Ditetapkan pengguna
Entity Type Code,Entitas jenis kode
Source Model,Model Sumber
Backend Model,Model Backend
Frontend Model,Model Frontend
text,teks
Show Log,Tampilkan Log
Delete,Hapus
"Delete ""%1""","Hapus ""%1"""
"Are you sure you want to delete a ""%1"" record?","Yakin ingin menghapus ""%1"" rekaman?"
View,Melihat
"Are you sure you wan't to delete a ""%1"" record?","Apakah Anda yakin tidak menghapusnya ""%1"" merekam?"
Empty log,Log kosong
Backup ID: ,ID cadangan:
Collapse,Jatuh
Expand,Memperluas
 (no data), (tidak ada data)
Top,Atas
No data,Tidak ada data
Support Data Collector,Dukung data kolektor
Support System Report,Laporan Sistem Pendukung
System Report,Laporan sistem
Data,Data
Modules,Modul
Logs,Log
Attributes,Atribut
Events,Acara
Cron,Cron
Design,Desain
Stores,Toko
New Backup,Cadangan Baru
Refresh Status,Refresh Status
Are you sure you want to delete selected item(s)?,Yakin ingin menghapus item yang dipilih(s)?
Delete items,Hapus item
Code Dump,Kode Dump
DB Dump,DB Dump
Choose Report Groups,Pilih Grup Laporan
New Report,Laporan baru
Date Generated,Tanggal Generated
Report Groups,Laporkan Kelompok
An item needs to be selected. Select and try again.,An item needs to be selected. Select and try again.
All processes should be completed.,All processes should be completed.
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
The root category can't be set. Verify the category and try again.,The root category can't be set. Verify the category and try again.
Unknown schema type supplied,Unknown schema type supplied
Admin is a required field in each row,Admin is a required field in each row
Update Product Preview Image,Pratinjau Gambar Pembaruan Produk
Filtering by this attribute will update the product image on catalog page,Penyaringan Dengan Atribut ini Akan memperbarui gambar produk pada halaman katalog
Use Product Image for Swatch if Possible,Gunakan Gambar Produk Untuk Contoh jika Mungkin
Allows use fallback logic for replacing swatch image with product swatch or base image,Memungkinkan menggunakan logika mundur untuk mengganti contoh gambar dengan contoh produk atau produk dasar
Visual Swatch,Contoh Visual
Text Swatch,Contoh Teks
Manage Swatch (Values of Your Attribute),Kelola pilihan Contoh (Nilai Atribut Anda)
Is Default,Bawaan
Add Swatch,Tambahkan Contoh
Sort Option,Opsi Pengurutan
Swatch,Contoh
Description,Deskripsi
Delete,Hapus
The value of Admin must be unique.,Nilai Admin Harus Unik.
Choose a color,Pilih Sebuah Warna
Upload a file,Upload File
Clear,Kosongkan
Step 2: Attribute Values,Langkah 2: Nilai Atribut
Select from the following attribute values for this product. Each unique combination of values creates a unique product SKU.,Pilih dari nilai atribut berikut untuk produk ini. Setiap kombinasi unik nilai menciptakan SKU produk yang unik.
Sort Variations,Variasi Urutan
Options,Pilihan
Select All,Pilih Semua
Deselect All,Hapus semua
Remove Attribute,Hapus Atribut
Save Option,Simpan Opsi
Remove Option,Hapus Opsi
Create New Value,Buat nilai baru
These changes affect all related products.,Perubahan Ini Mempengaruhi Semua Produk Terkait.
Swatches,Swatches
Swatches per Product,Swatch per Produk
Show Swatches in Product List,Tampilkan Swatch di daftar produk
Swatch Image,Swatch Gambar
"Allowed file types: jpeg, gif, png.","Jenis file yang diizinkan: jpeg, gif, png."
Image,Gambar
Image Opacity,Gambar Buram
Example format: 200x300.,Contoh Format: 200x300.
Image Size,Ukuran gambar
Image Position,Posisi Gambar
Default Store View,Tampilan Bawaan Toko
Admin,Admin
Swatch Helper: not valid parameter for product instantiation,Swatch Helper: parameter yang tidak valid untuk instantiasi produk
Admin is a required field in the each row,Admin adalah Bidang yang dibutuhkan di setiap baris
Manage Swatch (values of your attribute),Kelola Swatch (nilai atribut Anda)
Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.,Pilih nilai dari masing-masing atribut untuk disertakan dalam produk ini. Setiap kombinasi nilai yang unik menciptakan SKU produk yang tidak menarik.
Swatch cannot be saved,Swatch cannot be saved
More,More
Sending swatch values as package.,Sending swatch values as package.
Addtional data is wrong and cannot be assembled,Addtional data is wrong and cannot be assembled
Addtional data is wrong and cannot be populated,Addtional data is wrong and cannot be populated
Related Products Rule,Kaidah Produk Terkait
Add Rule,Tambahkan Aturan
Save and Continue Edit,Simpan dan Lanjutkan Edit
Edit Rule '%1',Edit Aturan '%1'
New Rule,Aturan baru
Rule Information,Informasi Peraturan
Product Result Conditions (leave blank for matching all products),Kondisi Hasil Produk (biarkan kosong untuk mencocokkan semua produk)
Products to Display,Produk yang akan ditampilkan
Product Match Conditions (leave blank for matching all products),Kondisi Pencocokan Produk (kosongkan untuk mencocokkan semua produk)
Products to Match,Produk disesuaikan
General Rule Information,Informasi Aturan Umum
Rule Name,Nama aturan
Priority,Prioritas
Status,Subjek
Active,Aktif
Inactive,Tidak aktif
Apply To,Terapkan Untuk
From,Dari
To,Ke
Result Limit,Batas Hasil
Maximum number of products this rule can apply to (up to 20).,Aturan Jumlah Maksimal produk yang dapat diterapkan (Sampai 20).
Product Rule Information,Informasi Aturan Produk
Undefined Catalog Product List Type,Jenis Daftar Produk Tidak Terdefinisi
You deleted the rule.,Anda menghapus aturan.
We can't find a page to delete.,Kami Tidak Menemukan Laman yang akan dihapus.
This rule no longer exists.,Aturan ini sudah tidak ada lagi.
New Related Products Rule,Aturan Baru untuk Produk-produk
Related Products Rules,Peraturan Untuk Produk
You saved the rule.,Anda menyimpan peraturan.
We can't save the product rule right now.,Kami tidak dapat menyimpan aturan produk sekarang.
Please specify a correct rule.,Silakan tentukan aturan yang benar.
Invalid product list type,Jenis Daftar Produk Tidak Valid
Invalid rotation mode type,Jenis Modus Rotasi Tidak Valid
Conditions Combination,Ketentuan Kombinasi
Type,Jenis
Product %1%2%3%4%5%6%7,Produk %1 %2 %3 %4 %5 %6 %7
Constant Value,Nilai Konstan
the Same as Matched Product Categories,sama seperti Kategori kecocokan produk
the Child of the Matched Product Categories,kecocokan Kategori Produk Anak
Matched Product %1,Kecocokan Produk %1
Target Product ,Produk Target
Price (percentage),Harga (Persentasi)
Product Special,Produk Khusus
equal to,sama dengan
more,lebih
equals or greater than,sama atau lebih besar dari
less,kurang
equals or less than,sama atau kurang dari
Product Price is %1 %2% of Matched Product(s) Price,Harga Produk adalah %1 %2 dari Kecocokan Produk
Please define a product data object.,Silakan definisikan objek data produk.
We can't rebuild the index for an undefined product.,Kami tidak dapat membangun kembali indeks untuk produk yang tidak terdefinisi.
Could not rebuild index for empty products array,Tidak dapat membangun kembali indeks untuk rangkaian produk kosong
-- Please Select --,-- Silahkan pilih --
Related Products,Produk Terkait
Up-sells,Peningkatan Penjualan
